Community,zero_carryover,low_supply_flag_1,low_supply_flag_2,low_supply_flag_3,low_supply_flag_1_percent,low_supply_flag_2_percent,low_supply_flag_3_percent,demand_flag_1,demand_flag_2,demand_flag_3,demand_flag_4,demand_flag_5,demand_flag_1_percent,demand_flag_2_percent,demand_flag_3_percent,demand_flag_4_percent,demand_flag_5_percent,unmet_demand_flag
14,0,479,4,3,0.2825958702064897,0.002359882005899705,0.0017699115044247787,21,146,94,0,0,0.012389380530973451,0.08613569321533923,0.05545722713864307,0,0,0
15,0,64,3,3,0.037122969837587005,0.0017401392111368909,0.0017401392111368909,0,2,6,0,0,0.0,0.001160092807424594,0.0034802784222737818,0,0,1
16,0,15,4,4,0.008655510675129832,0.002308136180034622,0.002308136180034622,0,10,2,0,0,0.0,0.005770340450086555,0.001154068090017311,0,0,0
17,1,153,5,5,0.11299852289512555,0.003692762186115214,0.003692762186115214,0,0,1,0,0,0.0,0.0,0.0007385524372230429,0,0,3
18,1,103,2,2,0.07567964731814843,0.0014695077149155032,0.0014695077149155032,1,4,12,0,0,0.0007347538574577516,0.0029390154298310064,0.00881704628949302,0,0,3
19,0,880,6,6,0.48645660585959094,0.003316749585406302,0.003316749585406302,10,174,111,0,0,0.00552791597567717,0.09618573797678276,0.06135986733001658,0,0,0
20,0,1022,6,5,0.5959183673469388,0.003498542274052478,0.0029154518950437317,27,190,110,0,0,0.01574344023323615,0.11078717201166181,0.0641399416909621,0,0,0
21,0,192,4,4,0.11079053664166186,0.002308136180034622,0.002308136180034622,3,24,23,0,0,0.0017311021350259665,0.013848817080207732,0.013271783035199077,0,0,1
22,0,46,3,3,0.024932249322493227,0.0016260162601626016,0.0016260162601626016,0,24,4,0,0,0.0,0.013008130081300813,0.002168021680216802,0,0,0
23,0,84,3,3,0.04600219058050383,0.0016429353778751369,0.0016429353778751369,0,6,9,0,0,0.0,0.0032858707557502738,0.004928806133625411,0,0,1
24,0,19,2,2,0.01027027027027027,0.001081081081081081,0.001081081081081081,0,2,0,0,0,0.0,0.001081081081081081,0.0,0,0,1
25,0,504,6,6,0.27140549273021003,0.0032310177705977385,0.0032310177705977385,1,158,99,0,0,0.0005385029617662897,0.08508346795907377,0.05331179321486268,0,0,0
26,1,106,2,2,0.06148491879350348,0.001160092807424594,0.001160092807424594,0,16,29,0,0,0.0,0.009280742459396751,0.016821345707656612,0,0,3
