Date,Predicted_start_count,Predicted_end_count
2024-01-27,377.55429703742266,409.74618438631296
2024-01-28,366.0946374051273,395.120607227087
2024-01-29,364.71852537989616,387.94745479524136
2024-01-30,432.0179568268359,449.0766269695014
2024-01-31,433.230867780745,460.32331178709865
2024-02-01,408.7826296854764,445.4132250547409
2024-02-02,399.975098432973,439.6889912877232
2024-02-03,402.43439653515816,438.9124357961118
2024-02-04,415.4928866084665,444.8477466031909
2024-02-05,435.8415300678462,455.49354602210224
2024-02-06,554.4085140135139,563.3214202430099
2024-02-07,598.2200487554073,613.82983603701
2024-02-08,605.4381081052125,631.2300638556482
2024-02-09,603.7940385639668,634.8295857366176
2024-02-10,608.5881255194545,638.6184979025276
2024-02-11,621.9638811387122,646.4205293506385
2024-02-12,640.4496945999563,656.3827533964069
2024-02-13,767.6210592351854,773.9740564078094
